,path,emotion
0,data/training/Actor_16/03-02-05-01-01-02-16_angry.wav,angry
1,data/training/Actor_16/16_02_01_02_kids-talking_angry.wav,angry
2,data/training/Actor_16/16_02_01_01_kids-talking_angry.wav,angry
3,data/training/Actor_16/03-02-05-02-01-02-16_angry.wav,angry
4,data/training/Actor_16/16_02_01_01_dogs-sitting_angry.wav,angry
5,data/training/Actor_16/03-02-05-02-02-01-16_angry.wav,angry
6,data/training/Actor_16/03-02-05-01-02-01-16_angry.wav,angry
7,data/training/Actor_16/16_02_01_02_dogs-sitting_angry.wav,angry
8,data/training/Actor_16/16_02_02_01_kids-talking_angry.wav,angry
9,data/training/Actor_16/03-02-05-02-02-02-16_angry.wav,angry
10,data/training/Actor_16/16_02_02_02_kids-talking_angry.wav,angry
11,data/training/Actor_16/03-02-05-01-02-02-16_angry.wav,angry
12,data/training/Actor_16/16_02_02_02_dogs-sitting_angry.wav,angry
13,data/training/Actor_16/03-02-05-01-01-01-16_angry.wav,angry
14,data/training/Actor_16/16_02_02_01_dogs-sitting_angry.wav,angry
15,data/training/Actor_16/03-02-05-02-01-01-16_angry.wav,angry
16,data/training/Actor_29/OAF_king_angry.wav,angry
17,data/training/Actor_29/OAF_rot_angry.wav,angry
18,data/training/Actor_29/OAF_hire_angry.wav,angry
19,data/training/Actor_29/YAF_numb_angry.wav,angry
20,data/training/Actor_29/YAF_seize_angry.wav,angry
21,data/training/Actor_29/OAF_take_angry.wav,angry
22,data/training/Actor_29/YAF_pick_angry.wav,angry
23,data/training/Actor_29/OAF_calm_angry.wav,angry
24,data/training/Actor_29/OAF_chalk_angry.wav,angry
25,data/training/Actor_29/OAF_fit_angry.wav,angry
26,data/training/Actor_29/YAF_mouse_angry.wav,angry
27,data/training/Actor_29/YAF_mop_angry.wav,angry
28,data/training/Actor_29/OAF_learn_angry.wav,angry
29,data/training/Actor_29/YAF_pearl_angry.wav,angry
30,data/training/Actor_29/OAF_limb_angry.wav,angry
